title,url,language,stars,usedBy,contributors
nutgram,https://github.com/nutgram/nutgram,PHP,526,,14
telegraph,https://github.com/def-studio/telegraph,PHP,695,364,52
tgWebValid,https://github.com/CrazyTapok-bit/tgWebValid,PHP,52,,2
BPT,https://github.com/BPTproto/BPT,PHP,11,,3
BPT-Multi,https://github.com/BPTproto/BPT-Multi,PHP,6,,3
LaraGram,https://github.com/laraXgram/LaraGram,PHP,42,,
BotAPI,https://github.com/TelegramSDK/BotAPI,PHP,13,,
TuriBot,https://github.com/davtur19/TuriBot,PHP,120,,3
TelegramBotsApi,https://github.com/kuvardin/TelegramBotsApi,PHP,10,,2
telegram-bot-api,https://github.com/vjik/telegram-bot-api/,PHP,49,,4
core,https://github.com/php-telegram-bot/core,PHP,3895,,67
core,https://github.com/telegram-bot-php/core,PHP,64,,2
telegram-api,https://github.com/unreal4u/telegram-api,PHP,791,,13
telegram-bot-sdk,https://github.com/irazasyed/telegram-bot-sdk,PHP,3029,,58
telegram-bot-api,https://github.com/klev-o/telegram-bot-api,PHP,40,,2
telebot,https://github.com/westacks/telebot,PHP,283,,9
TgBotLib,https://github.com/nosial/TgBotLib,PHP,5,,2
NeleBotX,https://github.com/NeleB54Gold/NeleBotX,PHP,26,,
Api,https://github.com/TelegramBot/Api,PHP,1095,,40
NovaGram,https://github.com/skrtdev/NovaGram,PHP,181,,4
gotgbot,https://github.com/paulsonoflars/gotgbot,Go,510,495,19
telego,https://github.com/mymmrac/telego,Go,557,462,10
bot,https://github.com/go-telegram/bot,Go,742,454,26
go-tg,https://github.com/mr-linch/go-tg,Go,105,,5
telegram-bots-api,https://github.com/temoon/telegram-bots-api,Go,11,,
echotron,https://github.com/NicoNex/echotron,Go,372,,11
telegram-bot-go,https://github.com/meinside/telegram-bot-go,Go,37,,2
telebot,https://github.com/tucnak/telebot,Go,4018,,85
telegrambot,https://github.com/nickname76/telegrambot,Go,29,,
aiogram,https://github.com/aiogram/aiogram,Python,4726,50587,106
python-telegram-bot,https://github.com/python-telegram-bot/python-telegram-bot,Python,26291,111289,220
pyTelegramBotAPI,https://github.com/eternnoir/pyTelegramBotAPI,Python,8112,51869,231
wonda,https://github.com/wondergram-org/wonda,Python,8,,
pure-teleapi,https://github.com/AntonOvsyannikov/pure-teleapi,Python,4,,
telegram-text,https://github.com/SKY-ALIN/telegram-text,Python,80,,3
OrigamiBot,https://github.com/cmd410/OrigamiBot,Python,74,,6
frankenstein,https://github.com/ayrat555/frankenstein,Rust,268,,18
ferrisgram,https://github.com/ferrisgram/ferrisgram,Rust,40,,5
botapi-rs,https://github.com/fmeef/botapi-rs,Rust,3,,
carapax,https://github.com/tg-rs/carapax,Rust,115,,9
teloxide,https://github.com/teloxide/teloxide,Rust,3170,2090,107
tgbotapi-rs,https://github.com/Syfaro/tgbotapi-rs,Rust,5,,
mobot,https://github.com/0xfe/mobot,Rust,48,,2
Telegram.Bot,https://github.com/TelegramBots/Telegram.Bot,C#,3220,,43
Telegram.BotAPI,https://github.com/Eptagone/Telegram.BotAPI,C#,153,,5
TelegramBotFramework,https://github.com/MajMcCloud/TelegramBotFramework,C#,159,,12
RxTelegram.Bot,https://github.com/RxTelegram/RxTelegram.Bot,C#,37,,3
Telegram.Bots,https://github.com/TelegramBotsAPI/Telegram.Bots,C#,47,,2
TelegramBotAPI,https://github.com/InsanusMokrassar/TelegramBotAPI,Kotlin,363,,19
telegram-bot,https://github.com/vendelieu/telegram-bot,Kotlin,191,,5
telegram-bot,https://github.com/DEHuckaKpyT/telegram-bot,Kotlin,28,,
kotlin-telegram-bot,https://github.com/kotlin-telegram-bot/kotlin-telegram-bot,Kotlin,841,,44
TelegramKitty,https://github.com/bezsahara/TelegramKitty,Kotlin,6,,
TelegramBotAPI,https://github.com/Modersi/TelegramBotAPI,C++,35,,
tgbot,https://github.com/egorpugin/tgbot,C++,50,,
tgbot-cpp,https://github.com/reo7sp/tgbot-cpp,C++,1011,,46
telegram-bot-ruby,https://github.com/atipugin/telegram-bot-ruby,Ruby,1361,2499,25
telegram-bot,https://github.com/telegram-bot-rb/telegram-bot,Ruby,635,531,21
telegram_workflow,https://github.com/rsamoilov/telegram_workflow,Ruby,48,,
telegraf,https://github.com/telegraf/telegraf,TypeScript,8303,44955,139
telenode,https://github.com/NivEz/telenode,JavaScript,35,,3
node-telegram-bot-api,https://github.com/yagop/node-telegram-bot-api,JavaScript,8446,51322,84
grammY,https://github.com/grammyjs/grammY,TypeScript,2359,5818,48
puregram,https://github.com/nitreojs/puregram,TypeScript,189,,8
typescript-telegram-bot-api,https://github.com/Borodin/typescript-telegram-bot-api,TypeScript,12,,2
gramio,https://github.com/gramiojs/gramio,TypeScript,61,,
TelegramBots,https://github.com/rubenlagus/TelegramBots,Java,4773,18651,106
java-telegram-bot-api,https://github.com/pengrad/java-telegram-bot-api,Java,1807,3538,20
TeleightBots,https://github.com/Teleight/TeleightBots,Java,27,,4
Telebof,https://github.com/natanimn/Telebof,Java,18,,
telegram,https://github.com/bot4s/telegram,Scala,418,,32
telegramium,https://github.com/apimorphism/telegramium,Scala,81,,7
ggram,https://github.com/TRIGONIM/ggram,Lua,22,,
telegram-bot-lua,https://github.com/wrxck/telegram-bot-lua,Lua,178,,
televerse,https://github.com/xooniverse/televerse,Dart,64,,11
TeleDart,https://github.com/DinoLeung/TeleDart,Dart,314,,16
telegram-vapor-bot,https://github.com/nerzh/telegram-vapor-bot,Swift,212,,10
ex_gram,https://github.com/rockneurotiko/ex_gram,Elixir,182,,14
TGBotMini,https://github.com/HemulGM/TGBotMini,Pascal,33,,3
telegrambot-lib,https://github.com/wdhowe/telegrambot-lib,Clojure,70,,2
TelegraML,https://github.com/nv-vn/TelegraML,OCaml,98,,5
haskell-telegram-api,https://github.com/klappvisor/haskell-telegram-api,Haskell,202,,19
TelegramBot,https://github.com/GildedHonour/TelegramBot,,24,,5
